Site,Plot ID,year,pre_post,Azimuth,D-Intersect(cm),D-Large(cm),D-Small(cm),Length(m),DecayClass,FieldNotes
Modoc,1,2020,prefire,N,10,12,8,0.6,4,
Modoc,1,2020,prefire,N,73,80,64,17,3,
Modoc,1,2020,prefire,E,27,30,26,1.3,4,
Modoc,1,2020,prefire,E,13,15,11,1.4,4,
Modoc,1,2020,prefire,E,12,13,11,1.8,3,
Modoc,1,2020,prefire,S,16,16,11,6,4,
Modoc,1,2020,prefire,W,16,16,11,6,4,
Modoc,2,2020,prefire,N,27,44,16.5,15.68,3,
Modoc,2,2020,prefire,N,15,20,11.5,4.64,4,
Modoc,2,2020,prefire,N,13.5,20.5,2,16.16,2,
Modoc,2,2020,prefire,N,10.5,11.5,3.5,8.32,3,
Modoc,2,2020,prefire,N,10,12.5,3.5,4.15,5,
Modoc,2,2020,prefire,E,8,9,4.5,8,3,
Modoc,2,2020,prefire,S,9,10.5,0.5,8.96,4,
Modoc,2,2020,prefire,W,9,17,8.5,12.16,4,
Modoc,3,2020,prefire,S,8,9,3,0.36,5,
Modoc,3,2020,prefire,S,8,36,7,0.76,4,
Modoc,3,2020,prefire,S,10,10,3,9.5,4,
Modoc,3,2020,prefire,W,0.1,10,3,9.5,4,
Modoc,4,2020,prefire,N,20.5,30,18,3.27,5,
Modoc,4,2020,prefire,E,9.5,9.5,1,7.44,3,
Modoc,4,2020,prefire,E,8,9,6.5,5.11,3,
Modoc,4,2020,prefire,E,9.5,9.5,9,1.1,4,
Modoc,4,2020,prefire,S,12,11.5,9,0.36,2,
Modoc,4,2020,prefire,S,9,8,6,2.48,3,
Modoc,4,2020,prefire,W,29,32.5,18.5,2.94,3,
Modoc,5,2020,prefire,n,10,49,38,11.8,4,
Modoc,5,2020,prefire,n,44,62,37,13.6,3,
Modoc,5,2020,prefire,e,21,22,18,2.6,4,
Modoc,5,2020,prefire,e,18,27,1,14.3,2,
Modoc,5,2020,prefire,s,37,42,16,11.8,2,
Modoc,5,2020,prefire,w,24,89,3,34.4,2,
Modoc,5,2020,prefire,w,10,14,9,5.9,2,
Modoc,5,2020,prefire,w,18,19,10,9.3,2,
Modoc,5,2020,prefire,w,11,20,11,12.4,3,
Modoc,5,2020,prefire,w,30,30,24,2.9,2,
Modoc,6,2020,prefire,E,16,36,13,2,5,
Modoc,6,2020,prefire,E,9,10,6,1,4,
Modoc,6,2020,prefire,E,13,15,9,6.5,4,
Modoc,6,2020,prefire,W,23,37,13,18,4,
Modoc,6,2020,prefire,W,18,15,6,14,5,
Modoc,6,2020,prefire,W,13,18,3,14.5,4,
Modoc,6,2020,prefire,W,9,15,3,9,4,
Modoc,6,2020,prefire,W,18,22,3,14.5,4,
Modoc,6,2020,prefire,W,5,18,3,14,5,
Modoc,7,2020,prefire,W,13,13,10,3,5,
Modoc,7,2020,prefire,W,23,25,22,4,5,
Modoc,7,2020,prefire,W,13,13,12,2,5,
Modoc,7,2020,prefire,W,15,18,12,4.5,5,
Modoc,7,2020,prefire,E,18,18,17,1.3,5,
Modoc,7,2020,prefire,E,13,15,13,2.2,3,
Modoc,7,2020,prefire,S,8,8,7,1,4,
Modoc,7,2020,prefire,S,15,15,13,3.4,5,
Modoc,7,2020,prefire,S,16,15,13,1.2,3,
Modoc,8,2020,prefire,W,12,13,7,1.5,5,
Modoc,9,2020,prefire,W,10.3,10.5,9.1,1.5,4,
Modoc,9,2020,prefire,E,12.5,24,5,12.5,3,
Modoc,9,2020,prefire,S,12,22,4,13,3,
Modoc,10,2020,prefire,N,na,,,,,
Modoc,15,2020,prefire,w,15.5,38.5,2,19.8,2,
Modoc,16,2020,prefire,N,na,,,,,
Modoc,17,2020,prefire,N,na,,,,,
Modoc,18,2020,prefire,N,na,,,,,
Modoc,19,2020,prefire,n,na,,,,,
Modoc,20,2020,prefire,N,na,,,,,
Modoc,21,2020,prefire,e,25,33,20,6.5,2,
Modoc,21,2020,prefire,e,21,30,4,17.4,2,
Modoc,22,2020,prefire,N,na,,,,,
Modoc,23,2020,prefire,N,na,,,,,
Modoc,24,2020,prefire,N,19,17.5,11,6.82,2,
Modoc,24,2020,prefire,N,3,24,1,1.6,2,
Modoc,24,2020,prefire,E,15,23,2,13.33,2,
Modoc,24,2020,prefire,S,22,22,10,10.85,2,
Modoc,25,2020,prefire,W,28,13,12,0.3,4,
Modoc,25,2020,prefire,W,9.3,8,7,0.7,4,
Modoc,25,2020,prefire,E,3.5,3.2,3,1.3,4,
Modoc,25,2020,prefire,S,4,4.5,3.5,0.7,2,
Modoc,25,2020,prefire,S,2.7,3,2.5,0.5,4,
Modoc,26,2020,prefire,S,10,11,10,1.4,3,
Modoc,26,2020,prefire,W,9,12,5,1.1,3,
Modoc,28,2020,prefire,N,na,,,,,
