Site,plot_id,Species,Status,basalarea
springsfire,springs1,pije,live,180
springsfire,springs2,pije,live,60
springsfire,springs3,pije,live,120
springsfire,springs4,pije,live,40
springsfire,springs5,pije,live,140
springsfire,springs6,pije,live,140
springsfire,springs7,pico,live,140
springsfire,springs8,pije,live,80
springsfire,springs8,pico,live,100
springsfire,springs9,pije,live,20
springsfire,springs9,pico,live,160
springsfire,springs11,pije,live,120
springsfire,springs12,pije,live,120
springsfire,springs13,pije,live,30
springsfire,springs14,pije,live,90
springsfire,springs15,pije,live,50
springsfire,springs15,pico,live,15
springsfire,springs15,pico,dead,5
springsfire,springs16,pije,live,80
springsfire,springs17,pije,live,60
springsfire,springs18,pije,live,140
springsfire,springs19,pije,live,80
springsfire,springs19,pije,live,120
springsfire,springs20,pije,live,120
springsfire,springs21,pije,live,140
springsfire,springs22,pije,live,90
springsfire,springs23,pije,live,120
springsfire,springs24,pije,live,100
springsfire,springs25,pije,live,60
springsfire,springs26,pico,live,80
springsfire,springs26,pico,dead,40
springsfire,springs26,pije,live,120
springsfire,springs27,pije,live,120
springsfire,springs27,pico,live,40
springsfire,springs28,pije,live,160
springsfire,springs29,pije,live,80
springsfire,springs30,pije,live,180
springsfire,springs37,pije,live,120
springsfire,springs37,pico,live,20
springsfire,springs38,pije,live,160
springsfire,springs38,pico,dead,20
springsfire,springs39,pije,live,80
springsfire,springs39,pico,live,20
springsfire,springs39,pico,dead,20
springsfire,springs40,pico,live,40
springsfire,springs40,pije,live,30
